issue	task_id	slug	group
16	t-8e0f5e	diff-parse	G1
17	t-85b44f	diff-parse	G1
18	t-3e9bcc	diff-collapse	G8
19	t-89ff6d	diff-collapse	G8
20	t-0c21f9	srv-core	G7
21	t-b5b532	srv-api	G6
22	t-d2b3f1	srv-api	G6
23	t-9fc944	srv-api	G6
24	t-889ec6	srv-api	G6
25	t-b196a1	srv-hook	G6
26	t-743f05	store	G1
27	t-9beb3e	store	G1
28	t-a13804	store	G1
29	t-1f40f3	srv-api	G6
30	t-c8322d	srv-api	G6
31	t-82b504	store	G1
32	t-5864be	history	G1
33	t-2b8b4a	history	G1
34	t-9f4af9	history	G1
35	t-4eed2c	history	G1
36	t-8f48db	cmd-reviews	G1
37	t-014002	cmd-reviews	G1
38	t-eda57e	mo-proxy	G1
39	t-0a0b0a	mo-proxy	G1
40	t-07ffb7	srv-preview	G6
41	t-9a19df	source	G1
42	t-c65278	cmd-wait	G1
43	t-3695c4	cmd-wait	G1
44	t-916e0a	cmd-comment	G1
45	t-7d82e6	cmd-wait	G1
46	t-1c56df	cmd-wait	G1
47	t-b44856	cmd-hook	G8
48	t-1267ee	cmd-hook	G8
49	t-1e39d9	cmd-hook	G8
50	t-7c3ece	cmd-reviews	G1
51	t-77e495	cmd-reviews	G1
52	t-fac06f	doc-collapse	G9
53	t-9e5415	cmd-comment	G1
54	t-6cea53	cmd-comment	G1
55	t-7b77d0	web-exportpage	G4
56	t-124271	export-pkg	G1
57	t-511b9f	export-pkg	G1
58	t-091f93	export-pkg	G1
59	t-c02378	web-exportpage	G4
60	t-ee337a	web-exportpage	G4
61	t-7f22f8	web-nav	G4
62	t-aaf3cc	web-nav	G4
63	t-ced6f2	web-nav	G4
64	t-e24283	web-nav	G4
65	t-6ae734	web-markdown	G4
66	t-29907b	web-nav	G4
67	t-a83621	web-a11y	G5
68	t-00e180	web-a11y	G5
69	t-95d08f	web-state	G4
70	t-dd50d6	web-perf	G5
71	t-e4c38b	ci	G10
72	t-006953	cmd-version	G8
73	t-cc5e7f	web-visual	G3
74	t-ff56f9	web-visual	G3
75	t-ac3cc8	web-visual	G3
76	t-9f82d3	web-visual	G3
77	t-9e29e0	web-nav	G4
78	t-a0c153	web-visual	G3
79	t-9bf4bb	web-visual	G3
80	t-7fdbd6	web-tokens	G2
81	t-d17042	web-tokens	G2
82	t-2ffabb	web-tokens	G2
83	t-bab8af	web-tokens	G2
84	t-c114c7	web-tokens	G2
85	t-4d0cc0	web-tokens	G2
86	t-ba49a4	web-tokens	G2
87	t-7bec8a	web-visual	G3
88	t-0c9008	srv-preview	G6
89	t-6883cd	srv-preview	G6
90	t-f9b1a3	cmd-serve	G7
91	t-3217f8	web-nav	G4
92	t-091d2b	web-nav	G4
93	t-d14dbd	web-state	G4
94	t-5e504d	web-url	G5
95	t-6bc607	web-url	G5
96	t-36d335	web-state	G4
97	t-af00b4	big-context	G11
98	t-1781fd	big-reply	G11
99	t-4997bb	web-search	G5
100	t-56b56b	web-search	G5
101	t-41154e	release	G10
102	t-547b8b	ci	G10
103	t-1ef0c4	web-perf	G5
104	t-86788d	paths	G1
105	t-4b4d24	big-desktop	G11
106	t-faf858	doc-repo	G9
107	t-9e770f	doc-readme	G9
108	t-f493f3	doc-repo	G9
109	t-49bb37	skill-fix	G9
110	t-10c7a9	skill-fix	G9
111	t-236122	skill-fix	G9
112	t-4db111	skill-fix	G9
113	t-d5b80c	skill-split	G9
114	t-35b888	skill-split	G9
115	t-94d2a0	skill-fix	G9
116	t-3a228f	web-tokens	G2
117	t-da2982	web-visual	G3
118	t-e88619	web-visual	G3
119	t-26b61b	web-visual	G3
120	t-0ed64b	test-visual	G10
121	t-49a286	test-visual	G10
122	t-c015e0	test-visual	G10
123	t-2cbe13	doc-readme	G9
124	t-20c12f	cmd-comment	G1
125	t-fcaebd	big-mcp	G11
126	t-62b8ee	ci	G10
128	t-d22494	big-pkg	G11
129	t-86bb4a	doc-repo	G9
130	t-5f842c	doc-repo	G9
131	t-c38a40	ci	G10
132	t-06c82c	doc-readme	G9
133	t-f31ad7	srv-core	G7
134	t-f80c17	srv-api	G6
135	t-e5aaf8	diff-parse	G1
136	t-013634	diff-parse	G1
137	t-ae70a9	diff-misc	G1
138	t-fa407e	model	G1
139	t-a1929a	model	G1
140	t-db8d2d	model	G1
141	t-9b02cf	cmd-comment	G1
142	t-b50caa	cmd-flags	G8
143	t-dda9b8	cmd-wait	G1
144	t-0707cc	cmd-comment	G1
145	t-c490f7	cmd-tests	G10
146	t-0a6091	srv-hook	G6
147	t-096e78	big-terminal	G11
148	t-650017	doc-api	G9
149	t-9c4f16	web-perf	G5
150	t-0ea770	web-markdown	G4
151	t-81e4e9	srv-core	G7
152	t-46994b	srv-core	G7
153	t-4202c6	srv-core	G7
154	t-cf44b9	diff-parse	G1
155	t-f26e01	srv-core	G7
156	t-86337b	diff-misc	G1
157	t-6b0f0a	cmd-reviews	G1
158	t-cfdd9b	store	G1
159	t-2baf80	store	G1
160	t-cc4f20	cmd-flags	G8
161	t-9f13a0	cmd-flags	G8
162	t-2aaa7d	web-markdown	G4
